12:01:05.745 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
17:10:32.690 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - maven
17:10:32.690 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
17:30:45.202 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - maven
17:30:45.203 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - null
11:27:56.038 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - maven
11:27:56.068 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
11:50:59.959 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - application
11:50:59.965 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
17:16:31.871 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - application
17:16:31.873 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
17:47:20.971 [ApplicationImpl pooled thread 223] INFO  c.b.l.BrowserStackRunExtension - application
17:47:20.971 [ApplicationImpl pooled thread 223] INFO  com.browserstack.utils.Helpers - null
18:01:33.734 [ApplicationImpl pooled thread 240] INFO  c.b.l.BrowserStackRunExtension - application
18:01:33.734 [ApplicationImpl pooled thread 240] INFO  com.browserstack.utils.Helpers - null
18:05:20.482 [ApplicationImpl pooled thread 240] INFO  c.b.l.BrowserStackRunExtension - application
18:05:20.483 [ApplicationImpl pooled thread 240] INFO  com.browserstack.utils.Helpers - null
11:49:04.509 [ApplicationImpl pooled thread 8] INFO  c.b.l.BrowserStackRunExtension - application
11:49:04.511 [ApplicationImpl pooled thread 8] INFO  com.browserstack.utils.Helpers - null
12:12:47.381 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - application
12:12:47.387 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
